Aruba,ABW,18.3
Afghanistan,AFG,44.0
Angola,AGO,47.7
Albania,ALB,18.5
Arab World,ARB,33.2
United Arab Emirates,ARE,13.9
Argentina,ARG,25.2
Armenia,ARM,18.4
Antigua and Barbuda,ATG,24.2
Australia,AUS,18.7
Austria,AUT,14.2
Azerbaijan,AZE,21.9
Burundi,BDI,44.8
Belgium,BEL,16.9
Benin,BEN,42.2
Burkina Faso,BFA,45.6
Bangladesh,BGD,29.4
Bulgaria,BGR,14.1
Bahrain,BHR,21.5
Bahamas,BHS,21.1
Bosnia and Herzegovina,BIH,13.5
Belarus,BLR,16.1
Belize,BLZ,32.5
Bolivia,BOL,32.4
Brazil,BRA,23.0
Barbados,BRB,19.4
Brunei Darussalam,BRN,23.1
Bhutan,BTN,26.9
Botswana,BWA,32.0
Central African Republic,CAF,39.1
Canada,CAN,16.0
Central Europe and the Baltics,CEB,15.0
Switzerland,CHE,14.8
Channel Islands,CHI,14.7
Chile,CHL,20.1
China,CHN,17.2
Cote d'Ivoire,CIV,42.5
Cameroon,CMR,42.5
Congo,COG,42.6
Colombia,COL,24.3
Comoros,COM,40.3
Cabo Verde,CPV,29.7
Costa Rica,CRI,22.3
Caribbean small states,CSS,24.1
Cuba,CUB,16.3
Curacao,CUW,19.0
Cyprus,CYP,16.6
Czech Republic,CZE,15.0
Germany,DEU,12.9
Djibouti,DJI,32.7
Denmark,DNK,16.9
Dominican Republic,DOM,30.0
Algeria,DZA,28.5
Ecuador,ECU,29.0
Egypt,EGY,33.0
Spain,ESP,14.9
Estonia,EST,16.1
Ethiopia,ETH,41.4
European Union,EUU,15.5
Finland,FIN,16.3
Fiji,FJI,28.7
France,FRA,18.5
Micronesia,FSM,34.6
Gabon,GAB,37.1
United Kingdom,GBR,17.8
Georgia,GEO,17.3
Ghana,GHA,38.8
Guinea,GIN,42.5
Gambia,GMB,46.3
Guinea-Bissau,GNB,40.8
Equatorial Guinea,GNQ,39.3
Greece,GRC,14.6
Grenada,GRD,26.5
Guatemala,GTM,36.6
Guam,GUM,25.5
Guyana,GUY,28.8
Hong Kong SAR,HKG,11.9
Honduras,HND,31.8
Croatia,HRV,14.9
Haiti,HTI,33.7
Hungary,HUN,14.6
Indonesia,IDN,27.7
India,IND,28.8
Ireland,IRL,21.8
Iran,IRN,23.5
Iraq,IRQ,41.0
Iceland,ISL,20.3
Israel,ISR,27.8
Italy,ITA,13.7
Jamaica,JAM,23.6
Jordan,JOR,35.5
Japan,JPN,12.9
Kazakhstan,KAZ,26.7
Kenya,KEN,41.9
Kyrgyz Republic,KGZ,31.4
Cambodia,KHM,31.6
Kiribati,KIR,34.9
Korea,KOR,14.3
Kuwait,KWT,22.3
Lao PDR,LAO,34.8
Lebanon,LBN,24.0
Liberia,LBR,42.3
Libya,LBY,29.8
St. Lucia,LCA,23.1
Sri Lanka,LKA,24.6
Lesotho,LSO,36.1
Lithuania,LTU,14.5
Luxembourg,LUX,16.4
Latvia,LVA,14.9
Morocco,MAR,27.2
Moldova,MDA,15.7
Madagascar,MDG,41.7
Maldives,MDV,27.5
Middle East & North Africa,MEA,30.2
Mexico,MEX,27.6
Middle income,MIC,26.1
Macedonia,MKD,17.1
Mali,MLI,47.5
Malta,MLT,14.4
Myanmar,MMR,27.6
Montenegro,MNE,18.7
Mongolia,MNG,28.2
Mozambique,MOZ,45.3
Mauritania,MRT,40.0
Mauritius,MUS,19.3
Malawi,MWI,45.2
Malaysia,MYS,25.0
North America,NAC,18.7
Namibia,NAM,36.7
New Caledonia,NCL,22.2
Niger,NER,50.5
Nigeria,NGA,44.0
Nicaragua,NIC,30.0
Netherlands,NLD,16.5
Norway,NOR,18.0
Nepal,NPL,32.7
New Zealand,NZL,20.2
Oman,OMN,20.5
Pakistan,PAK,35.0
Panama,PAN,27.2
Peru,PER,27.9
Philippines,PHL,31.9
Papua New Guinea,PNG,37.1
Poland,POL,14.9
Puerto Rico,PRI,18.9
Korea,PRK,21.4
Portugal,PRT,14.1
Paraguay,PRY,30.1
French Polynesia,PYF,22.1
Qatar,QAT,15.5
Romania,ROU,15.5
Russian Federation,RUS,16.8
Rwanda,RWA,41.1
South Asia,SAS,29.8
Saudi Arabia,SAU,28.6
Sudan,SDN,40.5
Senegal,SEN,43.8
Singapore,SGP,15.5
Solomon Islands,SLB,39.5
Sierra Leone,SLE,42.4
El Salvador,SLV,27.0
Somalia,SOM,46.7
Serbia,SRB,16.3
South Sudan,SSD,42.1
Sao Tome and Principe,STP,42.6
Suriname,SUR,26.8
Slovak Republic,SVK,15.1
Slovenia,SVN,14.8
Sweden,SWE,17.3
Swaziland,SWZ,37.4
Seychelles,SYC,23.4
Syrian Arab Republic,SYR,37.1
Chad,TCD,47.7
Togo,TGO,42.2
Thailand,THA,17.7
Tajikistan,TJK,34.8
Turkmenistan,TKM,28.2
Timor-Leste,TLS,42.4
Tonga,TON,36.8
Trinidad and Tobago,TTO,20.8
Tunisia,TUN,23.4
Turkey,TUR,25.7
Tanzania,TZA,45.2
Uganda,UGA,48.1
Ukraine,UKR,14.9
Uruguay,URY,21.4
United States,USA,19.0
Uzbekistan,UZB,28.5
St. Vincent and the Grenadines,VCT,24.5
Venezuela, RB,28.4
Virgin Islands (U.S.),VIR,20.4
Vietnam,VNM,23.1
Vanuatu,VUT,36.5
World,WLD,26.1
Samoa,WSM,37.3
Yemen,YEM,40.7
South Africa,ZAF,29.2
Congo,COD,46.2
Zambia,ZMB,45.9
Zimbabwe,ZWE,41.6
